soil_type,slope_angle,elevation,vegetation_index,distance_to_mining_area,distance_to_construction_area,historical_landslide_zone,rainfall_intensity_mm,rainfall_last_3_days,rainfall_last_7_days,rainfall_last_15_days,humidity,temperature,soil_moisture,seismic_activity,vibration_level,risk_level,risk_score
loam,30.67688524170198,516.7225687060136,0.8419891725678694,18.864462773474713,3.606682269315497,0,24.31421113292685,177.6366081876467,219.93445625624275,314.2748168824153,69.79794104521837,18.575776368870734,0.30624536466239194,1.991633398064499,0.5799667098943864,Medium,0.36438765534736306
laterite,25.39849980276845,848.8008419556838,0.3978955650254977,2.4616430594121432,25.391848652521762,0,37.04200152263183,122.11775756625008,222.92612078899847,240.1474960105808,61.173919427594925,17.979096509112324,0.553622974997239,0.6935779775976258,0.8735331934317667,High,0.43760615012539156
silt,70.72126292101143,860.6086422473926,0.913798732428048,9.703558927506373,10.52145578124984,0,28.46562378927997,41.24302444554192,213.1288813699183,532.0360163660583,76.3955415124932,18.914231455235115,0.43289745690247566,1.3163005317444478,10.0,Critical,0.5786202491798923
sandy_loam,14.260808103090362,770.0069721319321,0.21443106991493702,4.135758545542886,6.421749358883504,0,23.48705922435173,40.47714424347143,119.47155234645946,346.1224693022191,70.06115097953766,31.111553260791133,0.17362220124736671,0.39235918926571073,1.2285340778346745,Low,0.2774312593896912
clay,24.521435548062072,1429.6112858836757,0.3150681628643809,3.3116581069321156,4.451881585417138,0,53.24505062534037,124.12752818162284,176.25881612845976,233.77417027834326,86.67293331564356,21.89507957434444,0.587057730915986,0.0364360312224629,0.2055335950817476,High,0.4784879120185797
clay,40.1442931974466,450.5841271987846,0.8574139852534601,18.73406766594611,2.3948373231910884,1,9.232945827604581,49.45139855592211,115.7692253529809,244.91305720474728,93.50913069691713,18.792025621318004,0.5162128522665225,1.253030592824143,3.5639950740903785,High,0.48731395429517593
clay,25.776773290659452,1924.5215673801895,0.8433149294311675,6.310069255704905,17.45344550498331,1,16.344193421622588,38.731192262627076,56.35061435564967,163.53027835061755,79.46094548725992,22.811971413778643,0.30104278896317666,0.212634152082636,1.7215265654246803,Medium,0.3678485087473829
rocky,16.120292251677668,1672.9737782419938,0.46704104052467643,0.7512891451488988,14.294116510880933,1,11.745035951664846,21.03947766289184,86.30253640965849,167.00736336671508,64.91181586912167,21.705572933438656,0.29252429428353044,1.0473280913839815,1.8789646540259621,Low,0.29131157788355
silt,73.0778603859175,112.85814496797002,0.5769401064085987,12.67752309898542,21.558143447819834,0,29.82890874248836,54.58636225282464,107.32561583271124,161.41117709277987,76.56797747274533,24.807762856395776,0.1878390677268689,0.46440539475984555,2.887696590236045,High,0.4361274466735955
silt,27.486485442896353,934.0145774344045,0.8728389427684458,15.487440379523377,8.999961115858865,1,73.08560032000698,88.52130445799295,105.82319763349524,205.42584547684427,81.26604076724563,25.845230616637956,0.6341806691564325,0.008841105299200737,1.920056792765005,Critical,0.5060056711269505
clay,15.054671476544263,649.2632777346473,0.5828851479480591,0.5,2.0082644006411403,0,22.033332134930603,46.14135527234981,95.96928103929635,163.92140903018412,68.22764663500875,7.537611226967066,0.8132859653411405,0.21602202814468904,1.1409650080274916,Low,0.3498713172302265
laterite,66.1233076890264,597.7734602242627,0.8631528317597581,2.3299278574037734,6.922067998785867,0,14.313977689966858,50.38931191822928,105.25576058905928,165.24500997554713,77.00946943558111,12.224132061318052,0.8472148521053502,0.2939194318876636,0.4632986625245713,High,0.4487079948865425
rocky,38.991741033483386,329.32291322399504,0.9448461979437335,6.200344038425155,3.250635772168663,0,169.7110069327149,245.56501072140338,381.2577552978014,716.865765486054,79.74303006589342,20.31099892508908,0.4085999465473709,0.4062365279567754,1.344092251434308,Critical,0.6097454962265814
clay,22.351780924349452,1269.1997811467577,0.647788188636885,9.610188486295225,0.5,0,16.81199543979258,79.61483093689685,253.227700252322,356.192424181589,40.80345453930052,23.343465045064615,0.1936802738050168,0.3393842016181816,3.064345657606273,Medium,0.4037329378220312
clay,63.35690584261258,870.7921520942689,0.9563749256728413,0.5,34.465589957833195,0,70.0253957205353,174.73690064020377,234.21694303358402,335.00883796216533,90.07557964568036,21.430789534698754,0.6390146240647043,0.12628314420215647,1.364956871444481,Critical,0.6176846275556236
clay,29.59769500020185,615.056587047103,0.8651791380639094,0.5,7.442021543507225,1,265.66690816944214,327.5241390570299,496.3938878144807,566.3244578300378,88.2170293324922,23.915586159287397,0.7664923806619073,0.05133596489556664,3.726548650371063,Critical,0.7157443688013029
loam,78.28811252156964,1570.4203992818775,0.8768588017998858,5.643066599860296,1.3092039730276768,0,52.01755654335091,150.3881595862368,334.0466973872029,397.02242031479716,70.52280657892462,14.819545150027826,0.4418852565382816,1.4452145698437866,1.5550845734222227,Critical,0.5248732208829937
sandy_loam,50.982419693840484,638.8858473460753,0.7822310441839764,0.5,3.724264517329634,0,23.051568916356512,114.8507497837337,152.03599812393335,235.9314321115011,77.98285245013332,18.011715894152026,0.49266257741440045,0.313839577605953,2.4178220594843816,High,0.46870090680866056
